incident_id,date,time,incident_type,severity,affected_system,source_ip,destination_ip,status,response_action,analyst_name,resolution_time_hrs,notes
INC-001,2026-01-15,09:23,Phishing,High,Email Server,192.168.1.10,10.0.0.5,Resolved,Blocked sender domain and reset user password,Neha M.,2,user didnt realise it was a fake email
INC-002,2026-01-17,14:05,malware,Critical,Workstation-04,unknown,192.168.5.22,In Progress,isolated machine scan in progress,Karan S.,0,looks like ransomware still checking
INC-003,2026-01-20,11:45,DDoS,high,Web Server,multiple,203.0.113.10,Resolved,rate limiting enabled ISP contacted,Neha M.,4,traffic spike started around 11:30
INC-003,2026-01-20,11:45,DDoS,high,Web Server,multiple,203.0.113.10,Resolved,rate limiting enabled ISP contacted,Neha M.,4,traffic spike started around 11:30
INC-004,2026-02-01,08:12,Unauthorized Access,Medium,DB Server,10.0.0.99,10.0.0.1,Resolved,account suspended,Karan S.,1,brute force then successful login
INC-005,2026-02-10,16:30,Data Exfiltration,Critical,File Server,192.168.10.5,45.33.32.156,,network blocked forensics started,Neha M.,,large file transfer flagged by firewall
INC-006,2026-02-14,10:12,SQL Injection ,High,Web App,203.0.113.55,10.0.0.8,Resolved,WAF rule updated,Rohan D.,3,entry point was the login form
INC-007,2026-03-05,07:50,Insider Threat,Critical,HR Database,10.0.0.44,10.0.0.1,Escalated,account disabled flagged to manager,Karan S.,0,accessed files outside their role
INC-008,2026-03-11,13:20,Zero-Day,Critical,API Gateway,unknown,10.0.0.20,In Progress,waiting for vendor patch,Rohan D.,0,no CVE number yet
INC-009,2026-03-22,99:99,Phishing,High,Email Server,192.168.1.22,10.0.0.5,Resolved,blocked sender,Neha M.,2,similar to INC-001
