log_id,timestamp,source_ip,destination_ip,protocol,port,bytes_sent,action,flagged,flag_reason
LOG-001,2026-01-15 09:18:43,192.168.1.10,10.0.0.5,TCP,443,1520,ALLOW,No,
LOG-002,2026-01-15 09:23:11,192.168.1.10,45.33.32.156,TCP,80,8831,BLOCK,Yes,weird outbound not a known server
LOG-003,2026-01-17 14:02:57,unknown,192.168.5.22,UDP,4444,3204,BLOCK,Yes,port 4444 common malware port
LOG-004,2026-01-20 11:38:22,multiple,203.0.113.10,TCP,80,982441,BLOCK,Yes,classic DDoS pattern
LOG-005,2026-02-01 07:53:40,10.0.0.99,10.0.0.1,TCP,3306,512,ALLOW,Yes,brute force on mysql port
LOG-006,2026-02-10 16:27:19,192.168.10.5,45.33.32.156,TCP,21,51924831,BLOCK,Yes,way too much data going out via FTP
LOG-007,2026-02-14 10:09:55,203.0.113.55,10.0.0.8,TCP,443,7198,BLOCK,Yes,SQL injection string in payload
LOG-008,2026-03-05 07:47:33,10.0.0.44,10.0.0.1,TCP,1433,11876,ALLOW,Yes,3am access flagged for review
LOG-009,2026-03-11 13:14:02,unknown,10.0.0.20,TCP,8080,4103,BLOCK,Yes,matches zero-day pattern
LOG-010,2026-03-15 15:58:11,192.168.1.50,8.8.8.8,UDP,53,198,ALLOW,No,
LOG-011,2026-03-16 09:09:44,10.0.0.25,192.168.1.1,TCP,22,823,ALLOW,No,normal ssh
LOG-012,2026-03-17 23:43:17,10.0.0.33,10.0.0.1,TCP,3389,1187,ALLOW,Yes,RDP at midnight suspicious
LOG-013,2026-03-18 02:14:50,185.220.101.5,10.0.0.5,TCP,443,447,BLOCK,Yes,TOR exit node IP
LOG-014,2026-03-19 11:29:03,192.168.2.10,10.0.0.8,TCP,80,2241,ALLOW,No,
LOG-015,2026-03-20 14:21:38,10.0.0.77,45.33.32.200,TCP,6667,3287,BLOCK,Yes,IRC C2 traffic
